Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro IPCA+ com Juros Semestrais;15/05/2015;06/2007;1455,623217;14461,40;21050349,58
Tesouro IPCA+ com Juros Semestrais;15/05/2017;06/2007;1654,141951;209,80;347038,98
Tesouro IGPM+ com Juros Semestrais;01/01/2031;06/2007;2597,836558;14505,60;37683177,97
Tesouro IGPM+ com Juros Semestrais;01/04/2021;06/2007;1561,521164;10536,60;16453123,89
Tesouro IPCA+ com Juros Semestrais;15/08/2024;06/2007;1349,892390;11928,40;16102056,38
Tesouro IPCA+;15/05/2015;06/2007;884,059306;67142,00;59357509,93
Tesouro IPCA+;15/08/2024;06/2007;466,361844;125461,20;58510316,54
Tesouro IPCA+ com Juros Semestrais;15/08/2008;07/2007;1650,444811;31077,80;51292193,75
Tesouro IPCA+ com Juros Semestrais;15/08/2010;07/2007;1574,360906;20162,00;31742264,58
Tesouro Prefixado com Juros Semestrais;01/01/2008;07/2007;984,543123;39074,40;38470431,79
Tesouro Prefixado com Juros Semestrais;01/01/2010;07/2007;940,575931;30825,80;28994005,53
Tesouro Prefixado com Juros Semestrais;01/01/2011;07/2007;982,907130;666,40;655009,31
Tesouro IPCA+ com Juros Semestrais;15/05/2009;07/2007;1586,768005;30177,80;47885167,48
Tesouro IPCA+ com Juros Semestrais;15/05/2011;07/2007;1537,373090;16698,20;25671363,32
Tesouro IGPM+ com Juros Semestrais;01/04/2008;07/2007;1930,414060;8325,60;16071855,29
Tesouro IGPM+ com Juros Semestrais;01/03/2011;07/2007;1828,632113;15807,60;28906284,98
Tesouro Prefixado com Juros Semestrais;01/07/2010;07/2007;980,720591;6332,20;6210118,92
Tesouro Prefixado com Juros Semestrais;01/01/2012;07/2007;890,946615;32143,60;28638231,62
Tesouro Selic;17/03/2010;07/2007;3165,214121;28699,00;90838480,04
Tesouro Selic;18/06/2008;07/2007;3163,631344;13586,80;42983626,34
